name,QA,id,image_url,description,enabled,personalized,sql_request
Wine stocks,1,193,https://gainy-collections-production.s3.amazonaws.com/Wine%20stocks.png,Wine and liquor producers,1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Wine & Liquor']))
Heavily Shorted stocks,1,194,https://gainy-collections-production.s3.amazonaws.com/heavily%20shorted.png,Stocks that have short percent more than 20%,1,0,where (ct.ttype ilike 'common stock' AND ct.short_percent > 0.2)
Underdogs stocks,1,195,https://gainy-collections-production.s3.amazonaws.com/underdogs.png,,0,0,
Hot Stocks,1,196,https://gainy-collections-production.s3.amazonaws.com/hot%20stocks.png,,0,0,
Earnings Surprise,1,197,https://gainy-collections-production.s3.amazonaws.com/earnings%20surprise.png,,0,0,
ESG,1,198,https://gainy-collections-production.s3.amazonaws.com/esg.png,,0,0,
Cable & Satellite,0,199,https://gainy-collections-production.s3.amazonaws.com/cable%20%26%20satellite.png,Cable and Satellite companies,1,0,"where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Telecom infrastructure', 'Satellite Communication', 'TV and Radio']))"
Consumer Electronics,0,200,https://gainy-collections-production.s3.amazonaws.com/Consumer%20Electronics.png,Companies that produce and sell consumer electronic appliances,1,0,"where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Drones', 'Electronic Display', 'Electronics Manufacturing', 'Industrial Conglomerates', 'IoT', 'Technology Conglomerate']))"
Hotels & Cruise Lines,0,201,https://gainy-collections-production.s3.amazonaws.com/Hotels%20%26%20Cruise%20Lines.png,Touristic service providers,1,0,"where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Hotels', 'Online Travel Company', 'Vehicle Rental', 'Maritime Transportation']))"
Publishing,0,202,https://gainy-collections-production.s3.amazonaws.com/Publishing.png,Publishers,1,0,"where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Digital Content Publisher', 'Digital Marketing & Advertising', 'Digital Media/Web', 'Print Marketing', 'Publishers']))"
Technology Hardware,0,203,https://gainy-collections-production.s3.amazonaws.com/Technology%20Hardware.png,Technology hardware producers,1,0,"where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['3D Printing', 'Telecom infrastructure', 'Computer Vision and Sensor', 'Data Storage and Management', 'Electronic Components', 'Electronic Display', 'Electronics Manufacturing', 'Memory and Storage', 'Network Equipment', 'Power Generation & Distribution', 'Video Technology']))"
Enterprise Software and Services,0,204,https://gainy-collections-production.s3.amazonaws.com/Enterprise%20Software%20and%20Services.png,B2B software solutions and services,1,0,"where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Business Intelligence', 'Cloud-Based Communications', 'Consulting Services', 'Contract Management', 'Enterprise Software and Services', 'Distributed Work Tools', 'Identity & Authentication', 'Technology Consulting']))"
Banks,0,205,https://gainy-collections-production.s3.amazonaws.com/banking%20etfs.png,Bank and financial-related organizations,1,0,"where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Auto Financing', 'Banks', 'Consumer Lending', 'Investment Banking & Advisory', 'Investment Management Firm', 'Residential Mortgage Financing']))"
Luxuries,0,206,https://gainy-collections-production.s3.amazonaws.com/Luxuries.png,Companies with premium products and services,1,0,"where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Apparel Manufacturing & Retail', 'Luxury Retail', 'Outdoor & Lifestyle Products']))"
Ecommerce,0,207,https://gainy-collections-production.s3.amazonaws.com/e-commerce+%26+retail+stocks.png,E-commerce platforms,1,0,"where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['E-commerce Operations', 'E-commerce Platforms', 'Technology Conglomerate']))"
Homebuilding,0,208,https://gainy-collections-production.s3.amazonaws.com/Homebuilding.png,Homebuilding companies,1,0,"where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Building Materials', 'Building Products', 'Construction & Infrastructure', 'Furnishing & Fixtures', 'Home Construction & Maintenance', 'Household Products', 'Modular Office & Storage', 'Parking']))"
Oil & Gas,0,209,https://gainy-collections-production.s3.amazonaws.com/oil%20short%20etf.png,Oil and gas companies,1,0,"where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Liquified Natural Gas', 'Oil & Gas Producer', 'Oil & Gas Services', 'Plastics']))"
Internet Infrastructure,0,210,https://gainy-collections-production.s3.amazonaws.com/internet%20infrastructure.png,All companies involved in the Internet provision,1,0,"where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Cybersecurity', 'Data Centers', 'Domain Registry', 'Enterprise Cloud', 'Fiber Optics and Laser', 'Internet and Cellular Provider', 'Network Equipment', 'Technology Conglomerate', 'Telecom Infrastructure']))"
SPACs,0,211,https://gainy-collections-production.s3.amazonaws.com/SPACs.png,Special Purpose Acquisiton Companies,1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Shell company & SPAC']))
Social media,0,212,https://gainy-collections-production.s3.amazonaws.com/Social%20media.png,Social media companies,1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Social Media']))
Gig Economy,0,213,https://gainy-collections-production.s3.amazonaws.com/Gig_economy.png,Companies with focus on short-term labor market,1,0,"where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['E-commerce Platforms', 'Payment Systems', 'Sharing Economy', 'Food Delivery']))"
Sharing economy,0,214,https://gainy-collections-production.s3.amazonaws.com/Sharing%20economy.png,Companies supporting sharing economy,1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Sharing Economy']))
Beverages,0,215,https://gainy-collections-production.s3.amazonaws.com/Beverages.png,Comapnies producing all sorts of drinks,1,0,"where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Coffee & Tea', 'Soft/Sports Drink', 'Wine & Liquor']))"
Streaming,0,216,https://gainy-collections-production.s3.amazonaws.com/Streaming.png,Streaming services,1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Streaming']))
Advanced Materials,0,217,https://gainy-collections-production.s3.amazonaws.com/Advanced%20Materials.png,Companies that develop and produce cutting-edge materials and nanotechnologies,1,0,"where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Advanced Materials', 'Nanotechnology']))"
Aerospace & Defense,0,218,https://gainy-collections-production.s3.amazonaws.com/Aerospace%20%26%20Defense.png,Stocks of aerospace and defense companies,1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Aerospace & Defense']))
Animal health,0,219,https://gainy-collections-production.s3.amazonaws.com/Animal%20health.png,Companies inveloved in animal care,1,0,"where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Animal health', 'Pets']))"
Cure diseases,0,220,https://gainy-collections-production.s3.amazonaws.com/Cure%20diseases.png,Healthcare companies working on treatment of diseases,1,0,"where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Autoimmune disease', 'Cardiovascular Services & Equipment', 'Pharmaceuticals & Drugs discovery', 'Dystrophy disease', 'Eye disease', 'Gastroenterological disease', 'Kidney disease', 'Leukemia disease', 'Liver disease', 'Neurological disease', 'Pneumonia disease', 'Rare disease', 'Respiratory disease', 'Sleep disorder', 'Transplantology']))"
Healthcare equipment,0,221,https://gainy-collections-production.s3.amazonaws.com/Healthcare%20equipment.png,Healthcare equipment providers,1,0,"where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Cardiovascular Services & Equipment', 'Healthcare and COVID services', 'Dermatology services & Equipment', 'Healthcare services', 'Implants & Equipment']))"
Healthcare services,0,222,https://gainy-collections-production.s3.amazonaws.com/Healthcare%20services.png,Providers of healthcare services,1,0,"where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Healthcare services & Equipment', 'Hospitals', 'Healthcare Information technology', 'People care']))"
Investment funds,0,223,https://gainy-collections-production.s3.amazonaws.com/Investment%20funds.png,Investment funds,1,0,"where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Asset-Based Finance Company', 'Closed-end mutual fund', 'Crowdfunding platform', 'Infrastructure Investment Fund', 'Retirement Asset Management', 'Traded Growth/Venture Funds', 'Traded Private Investment Funds', 'Wealth Management']))"
