date,ttf_name,symbol,weight
2016-01-01,"Movies, Music and Entertainment",IMAX,0.106408111
2016-02-01,"Movies, Music and Entertainment",IMAX,0.091726894
2016-03-01,"Movies, Music and Entertainment",IMAX,0.079213719
2016-04-01,"Movies, Music and Entertainment",IMAX,0.076881592
2016-05-01,"Movies, Music and Entertainment",IMAX,0.07677501
2016-06-01,"Movies, Music and Entertainment",IMAX,0.069173298
2016-07-01,"Movies, Music and Entertainment",IMAX,0.062296974
2016-08-01,"Movies, Music and Entertainment",IMAX,0.062854768
2016-09-01,"Movies, Music and Entertainment",IMAX,0.06094232
2016-10-01,"Movies, Music and Entertainment",IMAX,0.058660315
2016-11-01,"Movies, Music and Entertainment",IMAX,0.064593239
2016-12-01,"Movies, Music and Entertainment",IMAX,0.071141167
2017-01-01,"Movies, Music and Entertainment",IMAX,0.074724214
2017-02-01,"Movies, Music and Entertainment",IMAX,0.070968723
2017-03-01,"Movies, Music and Entertainment",IMAX,0.074215502
2017-04-01,"Movies, Music and Entertainment",IMAX,0.085198817
2017-05-01,"Movies, Music and Entertainment",IMAX,0.089678997
2017-06-01,"Movies, Music and Entertainment",IMAX,0.08331354
2017-07-01,"Movies, Music and Entertainment",IMAX,0.065284103
2017-08-01,"Movies, Music and Entertainment",IMAX,0.059249199
2017-09-01,"Movies, Music and Entertainment",IMAX,0.06098777
2017-10-01,"Movies, Music and Entertainment",IMAX,0.055267204
2017-11-01,"Movies, Music and Entertainment",IMAX,0.047068821
2017-12-01,"Movies, Music and Entertainment",IMAX,0.049602341
2018-01-01,"Movies, Music and Entertainment",IMAX,0.048217589
2018-02-01,"Movies, Music and Entertainment",IMAX,0.050968998
2018-03-01,"Movies, Music and Entertainment",IMAX,0.063428852
2018-04-01,"Movies, Music and Entertainment",IMAX,0.065007946
2018-05-01,"Movies, Music and Entertainment",IMAX,0.066172219
2018-06-01,"Movies, Music and Entertainment",IMAX,0.073189707
2018-07-01,"Movies, Music and Entertainment",IMAX,0.068643362
2018-08-01,"Movies, Music and Entertainment",IMAX,0.072670161
2018-09-01,"Movies, Music and Entertainment",IMAX,0.062710452
2018-10-01,"Movies, Music and Entertainment",IMAX,0.060316628
2018-11-01,"Movies, Music and Entertainment",IMAX,0.071978984
2018-12-01,"Movies, Music and Entertainment",IMAX,0.084841771
2019-01-01,"Movies, Music and Entertainment",IMAX,0.090040469
2019-02-01,"Movies, Music and Entertainment",IMAX,0.089732522
2019-03-01,"Movies, Music and Entertainment",IMAX,0.091454161
2019-04-01,"Movies, Music and Entertainment",IMAX,0.087445949
2019-05-01,"Movies, Music and Entertainment",IMAX,0.092719476
2019-06-01,"Movies, Music and Entertainment",IMAX,0.091024552
2019-07-01,"Movies, Music and Entertainment",IMAX,0.087474903
2019-08-01,"Movies, Music and Entertainment",IMAX,0.074199652
2019-09-01,"Movies, Music and Entertainment",IMAX,0.071969468
2019-10-01,"Movies, Music and Entertainment",IMAX,0.067155779
2019-11-01,"Movies, Music and Entertainment",IMAX,0.070795959
2019-12-01,"Movies, Music and Entertainment",IMAX,0.074032397
2020-01-01,"Movies, Music and Entertainment",IMAX,0.073016795
2020-02-01,"Movies, Music and Entertainment",IMAX,0.063965755
2020-03-01,"Movies, Music and Entertainment",IMAX,0.066927204
2020-04-01,"Movies, Music and Entertainment",IMAX,0.036814914
2020-05-01,"Movies, Music and Entertainment",IMAX,0.037635969
2020-06-01,"Movies, Music and Entertainment",IMAX,0.037927333
2020-07-01,"Movies, Music and Entertainment",IMAX,0.038493313
2020-08-01,"Movies, Music and Entertainment",IMAX,0.037308779
2020-09-01,"Movies, Music and Entertainment",IMAX,0.03676708
2020-10-01,"Movies, Music and Entertainment",IMAX,0.036666009
2020-11-01,"Movies, Music and Entertainment",IMAX,0.03719631
2020-12-01,"Movies, Music and Entertainment",IMAX,0.036372525
2021-01-01,"Movies, Music and Entertainment",IMAX,0.046402259
2021-02-01,"Movies, Music and Entertainment",IMAX,0.046818912
2021-03-01,"Movies, Music and Entertainment",IMAX,0.046679621
2021-04-01,"Movies, Music and Entertainment",IMAX,0.05149767
